"","gene_name"
"319","Fat3"
"320","Fat4"
"321","Faxc"
"322","Fbxl16"
"323","Fbxo11"
"324","Fbxo41"
"325","Fbxw11"
"326","Fcho2"
"327","Fgd4"
"328","Fgfr1"
"329","Fgfr3"
"330","Fhit"
"331","Filip1l"
"332","Fis1"
"333","Fjx1"
"334","Fkbp1a"
"335","Fmn1"
"336","Fmn2"
"337","Fmnl2"
"338","Fnbp1l"
"339","Fnip1"
"340","Foxg1"
"341","Foxj3"
"342","Foxp1"
"343","Frmd4a"
"344","Frmpd4"
"345","Frrs1l"
"346","Fry"
"347","Fryl"
"348","Fshr"
"349","Fstl4"
"350","Fut8"
"351","Fut9"
"352","Fyn"
"353","Gabbr1"
"354","Gabbr2"
"355","Gabra2"
"356","Gabra5"
"357","Gabrb1"
"358","Gabrb2"
"359","Gabrg2"
"360","Galnt13"
"361","Galnt17"
"362","Galntl6"
"363","Gdi2"
"364","Gfod1"
"365","Gfra2"
"366","Gigyf2"
"367","Glg1"
"368","Glrb"
"369","Gm10243"
"370","Gm10644"
"371","Gm12359"
"372","Gm14170"
"373","Gm15725"
"374","Gm16070"
"375","Gm20548"
"376","Gm20716"
"377","Gm20752"
"378","Gm30977"
"379","Gm31763"
"380","Gm35197"
"381","Gm35417"
"382","Gm35438"
"383","Gm3604"
"384","Gm36601"
"385","Gm37013"
"386","Gm3788"
"387","Gm38666"
"388","Gm38667"
"389","Gm38733"
"390","Gm46091"
"391","Gm46128"
"392","Gm49085"
"393","Gm49208"
"394","Gm51875"
"395","Gm52914"
"396","Gnao1"
"397","Gnaq"
"398","Gnb1"
"399","Gng2"
"400","Gnptab"
"401","Gpc5"
"402","Gpc6"
"403","Gphn"
"404","Gpld1"
"405","Gpm6a"
"406","Gpm6b"
"407","Gpr62"
"408","Gprasp1"
"409","Gramd1b"
"410","Gria1"
"411","Gria2"
"412","Gria3"
"413","Grid1"
"414","Grid2"
"415","Grik2"
"416","Grik3"
"417","Grin2b"
"418","Grin3b"
"419","Grip1"
"420","Grm3"
"421","Grm5"
"422","Grm7"
"423","Gsk3b"
"424","Gtf2i"
"425","Gucy1a2"
"426","Gxylt2"
"427","H3f3b"
"428","H4c1"
"429","Hba-a1"
"430","Hba-a2"
"431","Hdac4"
"432","Hdac9"
"433","Hdgfl2"
"434","Hdgfl3"
"435","Hectd4"
"436","Herc1"
"437","Hexb"
"438","Hipk2"
"439","Hivep2"
"440","Hmgb3"
"441","Hmgcr"
"442","Hmgcs1"
"443","Hmgn1"
"444","Hnrnpa0"
"445","Hnrnpa2b1"
"446","Hnrnpa3"
"447","Hnrnpk"
"448","Hp1bp3"
"449","Hps3"
"450","Hs6st2"
"451","Hs6st3"
"452","Hsd17b12"
"453","Hsp90ab1"
"454","Hsp90b1"
"455","Hspe1"
"456","Ica1"
"457","Id2"
"458","Ids"
"459","Iffo2"
"460","Igf1r"
"461","Igf2"
"462","Igsf9b"
"463","Il31ra"
"464","Immp2l"
"465","Inpp5f"
"466","Insr"
"467","Ipo8"
"468","Iqcg"
"469","Iqcm"
"470","Iqschfp"
"471","Ireb2"
"472","Irf2bp2"
"473","Islr2"
"474","Itfg1"
"475","Itga11"
"476","Itga9"
"477","Itgb1bp1"
"478","Itm2c"
"479","Itpr1"
"480","Jakmip3"
"481","Jarid2"
"482","Jmjd1c"
"483","Kalrn"
"484","Kansl1"
"485","Kcnd2"
"486","Kcnip1"
"487","Kcnk1"
"488","Kcnk2"
"489","Kcnma1"
"490","Kcnt1"
"491","Kctd12"
"492","Kctd16"
"493","Kdm2b"
"494","Khdrbs3"
"495","Kif1a"
"496","Kif1b"
"497","Kif21a"
"498","Kif21b"
"499","Kif3a"
"500","Kif5c"
"501","Kirrel3"
"502","Kit"
"503","Kiz"
"504","Klf13"
"505","Klhdc2"
"506","Klhl29"
"507","Kmt2c"
"508","Kmt2d"
"509","Kmt2e"
"510","Krt222"
"511","L1cam"
"512","Lamb3"
"513","Lamc1"
"514","Laptm4a"
"515","Laptm4b"
"516","Lars2"
"517","Lbh"
"518","Ldb2"
"519","Lemd3"
"520","Limch1"
"521","Lingo2"
"522","Lmo3"
"523","Lmo4"
"524","Lmtk2"
"525","LOC108169181"
"526","LOC115488208"
"527","LOC115489981"
"528","Lonrf2"
"529","Lpp"
"530","Lrba"
"531","Lrfn5"
"532","Lrp1"
"533","Lrp1b"
"534","Lrp6"
"535","Lrp8"
"536","Lrrc4b"
"537","Lrrc4c"
"538","Lrrc58"
"539","Lrrc7"
"540","Lrrc9"
"541","Lrrtm4"
"542","Ltbp1"
"543","Luzp2"
"544","Macf1"
"545","Macrod2"
"546","Madd"
"547","Magi1"
"548","Magi2"
"549","Malrd1"
"550","Man1a2"
"551","Map1b"
"552","Map1lc3b"
"553","Map2"
"554","Map2k4"
"555","Map3k12"
"556","Map4"
"557","Map4k3"
"558","Map4k4"
"559","Map7d1"
"560","Mapre2"
"561","Mapt"
"562","Marchf1"
"563","Marchf5"
"564","Marchf6"
"565","Marcks"
"566","Marcksl1"
"567","Marf1"
"568","Mast2"
"569","Mat2b"
"570","Mbtps2"
