"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"5673","ENSMUSG00000028580",-1.58213389927987,5.98797699269281,-12.1917041666427,3.67221563717764e-09,6.39112409494397e-05,6.75705237955137,"Pum1"
"2208","ENSMUSG00000020594",0.629407210175525,7.77422608367411,7.33022876169199,2.5540090601975e-06,0.0222249868418387,3.53135947261159,"Pum2"
"11330","ENSMUSG00000047281",-2.1325120728488,-1.19496768873365,-6.55389648018327,9.34827461180102e-06,0.054232457114595,-2.1227835259188,"Sfn"
"8833","ENSMUSG00000037086",-1.31159143361176,1.42336417977843,-5.38157012667239,7.7530319036358e-05,0.269867534501755,-0.65987946138293,"Prr32"
"14917","ENSMUSG00000085389",-0.845705016609534,2.74808876316868,-5.40865876122828,7.36768170637356e-05,0.269867534501755,0.199030549353791,"1700003M07Rik"
"15903","ENSMUSG00000100622",2.22939103708451,0.520969542277727,5.02683168886936,0.000152472820936154,0.379090996510405,-2.14372628354393,"Gm20379"
"16079","ENSMUSG00000103865",4.74011066422819,-1.71560098561003,5.06312414399792,0.000142176283889531,0.379090996510405,-3.29958965473427,"Gm37416"
"9826","ENSMUSG00000040118",0.450293142174405,7.37915377071795,4.8929765315997,0.000197599183533357,0.416650797231954,0.523177233456241,"Cacna2d1"
"14484","ENSMUSG00000078521",-1.45385813731282,-0.892707746021287,-4.84854166638948,0.000215459502130981,0.416650797231954,-2.77551851722726,"Aunip"
"11002","ENSMUSG00000045337",-1.56862298241076,0.102934359533783,-4.6497485715261,0.000318190928186915,0.553779491416506,-2.46356798139519,"Defb11"
"337","ENSMUSG00000002324",2.28156587109853,1.59828566447493,4.447167746992,0.000475472269893125,0.560055804804417,-1.5742557599133,"Rec8"
"1145","ENSMUSG00000010914",0.295376913099261,5.69868093011596,4.44301063136842,0.000479428071929007,0.560055804804417,-0.211998569864559,"Pdhx"
"10050","ENSMUSG00000040795",-0.506760564310382,3.68134355806687,-4.56390828924112,0.00037703370913782,0.560055804804417,-0.371929136361582,"Iqcc"
"13875","ENSMUSG00000070407",0.636275115121365,2.462492322434,4.40725471755605,0.000514875481318701,0.560055804804417,-0.896158555617936,"Hs3st3b1"
"14801","ENSMUSG00000083411",-8.13515819448442,0.678449491558012,-4.48266067210696,0.000443030144958661,0.560055804804417,-3.36512506230068,"Rpl30-ps10"
"14813","ENSMUSG00000083720",2.36317128529819,0.35975498796613,4.42313901081089,0.000498808249559017,0.560055804804417,-2.50889917996772,"Gm12901"
"14645","ENSMUSG00000079450",-0.659244799232801,4.05125063904859,-4.36643927084955,0.000558635030869026,0.571910828073208,-0.604157332565131,"Cldn34c1"
"5797","ENSMUSG00000028800",-0.469373294128329,5.16796981212589,-4.30796358279366,0.000628054087503658,0.607258518828537,-0.4521223246344,"Hdac1"
"15314","ENSMUSG00000091421",-6.63380161276443,1.7623647077736,-4.24327174300906,0.000715194988251246,0.622362678776235,-2.03181214539995,"Gm4202"
"15990","ENSMUSG00000102550",-3.42779577576651,-0.372206919908507,-4.24795954289153,0.000708484524039731,0.622362678776235,-3.0115765775975,"Gm8276"
