"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"337","ENSMUSG00000002324",3.02678461360611,1.59828566447493,6.14642565910859,1.90892688351892e-05,0.0830574087019083,2.58881006266425,"Rec8"
"5902","ENSMUSG00000028989",1.60062183602956,-0.378857748913407,6.27892008900948,1.50966130547188e-05,0.0830574087019083,1.60127488493266,"Angptl7"
"15870","ENSMUSG00000099759",4.94360577474678,-1.55682851239161,6.52094225594913,9.89551479324206e-06,0.0830574087019083,0.843654739861317,"1700030C10Rik"
"15907","ENSMUSG00000100690",7.31963266677477,-2.75615555273095,6.68565604487648,7.4574964650518e-06,0.0830574087019083,0.366357182408243,"Gm4322"
"15028","ENSMUSG00000086429",-1.59035021448861,5.53515119582686,-5.81681529768365,3.45832426777819e-05,0.120377351112823,2.54956928696291,"Gt(ROSA)26Sor"
"6690","ENSMUSG00000030761",-0.934178365357677,4.39133877255124,-5.57987940358838,5.35006172486155e-05,0.155187457099151,2.1398058569405,"Myo7a"
"7378","ENSMUSG00000032269",0.948421965591127,2.13684630322531,5.43967285232127,6.95077258806125e-05,0.172816065889454,1.7676116658358,"Htr3a"
"3408","ENSMUSG00000023004",0.523737245597686,10.4379220543873,4.99753683924424,0.000161344396872586,0.173421388495831,1.09076132200227,"Tuba1b"
"10645","ENSMUSG00000043192",-1.68787487613915,0.205097847067415,-5.12691668848161,0.000125783634842246,0.173421388495831,0.764507822698609,"Gpi-ps"
"13273","ENSMUSG00000062132",-3.01251535797183,-0.818908516029648,-4.9723555830735,0.000169395748358374,0.173421388495831,-0.0141675013457609,"Arhgap33os"
"13777","ENSMUSG00000068762",1.29134717778755,2.02285798905461,5.15214946393666,0.00011985075597601,0.173421388495831,1.22201474288083,"Gstm6"
"13817","ENSMUSG00000069516",1.04407177173426,4.34294452614238,5.24572639980043,0.000100260008978712,0.173421388495831,1.55294254396531,"Lyz2"
"14144","ENSMUSG00000073471",-1.17495886404271,3.57019582328693,-4.98345661956845,0.00016579641741674,0.173421388495831,1.0821258022269,"Rsph3a"
"15373","ENSMUSG00000092178",5.25420777193597,-1.36032910681729,5.1947389615185,0.000110484821363825,0.173421388495831,-0.727246910211727,"Gm45351"
"15414","ENSMUSG00000093483",1.97912906562015,3.10477706183808,5.07638423720236,0.000138595843186357,0.173421388495831,1.23432080484823,"AA465934"
"15520","ENSMUSG00000095730",3.3596064200481,-1.63917681202827,5.1457512390293,0.000121327208878678,0.173421388495831,-0.760184831087609,"Vmn2r29"
"16800","ENSMUSG00000114547",1.45782217158587,3.30933374199937,4.97597230961112,0.000168214308714095,0.173421388495831,1.07133041309694,"Gm3226"
"1787","ENSMUSG00000019734",0.824226370041201,1.48829304902819,4.87704438254906,0.000203820632576095,0.177364714467718,0.710359380296323,"Tmc4"
"15338","ENSMUSG00000091639",0.953110539775033,3.53838134974327,4.87887526385119,0.000203095525487569,0.177364714467718,0.896238525922092,"Gm3756"
"16079","ENSMUSG00000103865",4.59367986339545,-1.71560098561003,4.88926711060765,0.000199029993796196,0.177364714467718,-0.998507742176264,"Gm37416"
"2791","ENSMUSG00000021750",0.86422588656179,3.40671968366186,4.85074971356024,0.000214533862771961,0.177797492746819,0.84535326868166,"Fam107a"
"2880","ENSMUSG00000021948",0.537536935379008,4.85569494733596,4.71485254957222,0.000279914376601476,0.20894478109226,0.579342531866756,"Prkcd"
"6675","ENSMUSG00000030739",-0.504549360682684,2.92820957349795,-4.70013167365232,0.000288133460481168,0.20894478109226,0.571038096061534,"Myh14"
