"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"4113","ENSMUSG00000025153",-2.04987895633896,8.59813443208086,-12.5917000581108,2.36090086433792e-09,1.5147743109844e-06,11.8815301734563,"Fasn"
"4409","ENSMUSG00000025889",1.96583442620336,7.55734975544089,12.6614424379008,2.18851891479828e-09,1.5147743109844e-06,11.9548043732651,"Snca"
"5673","ENSMUSG00000028580",-1.98892356939446,5.98797699269281,-12.1597388701261,3.80613899758119e-09,1.5147743109844e-06,11.4187550778951,"Pum1"
"6960","ENSMUSG00000031432",1.24184651297907,5.89060014105322,12.3656558128508,3.02593980607733e-09,1.5147743109844e-06,11.6371120892188,"Prps1"
"7223","ENSMUSG00000031950",2.54447078058946,7.03529469890148,12.0810378305887,4.15844202954518e-09,1.5147743109844e-06,11.3115667122695,"Gabarapl2"
"7764","ENSMUSG00000033295",-2.02668656392854,7.37474425403105,-12.4115037571215,2.87651554550479e-09,1.5147743109844e-06,11.6929383216603,"Ptprf"
"8172","ENSMUSG00000034730",-2.32260736661272,7.43908333315465,-12.5468688990925,2.4792752648934e-09,1.5147743109844e-06,11.8419585266974,"Adgrb1"
"8676","ENSMUSG00000036565",-2.07399217658512,8.52718833478283,-12.1698863191048,3.76307214234562e-09,1.5147743109844e-06,11.4144897806565,"Ttyh3"
"9130","ENSMUSG00000038034",-2.11416078616576,6.16002396475709,-12.0394059754881,4.35864887151302e-09,1.5147743109844e-06,11.2822594990989,"Igsf8"
"9447","ENSMUSG00000038916",-1.58910067682728,6.35599869939415,-12.0232975218769,4.43883531718022e-09,1.5147743109844e-06,11.2672261326317,"Soga3"
"9587","ENSMUSG00000039323",-1.95151650909144,7.11317223758613,-13.118645305761,1.34276742641788e-09,1.5147743109844e-06,12.4491129630463,"Igfbp2"
"10594","ENSMUSG00000042834",1.26954224749121,10.1463170742197,13.1323447188946,1.32355288473756e-09,1.5147743109844e-06,12.4622226752478,"Nrep"
"11888","ENSMUSG00000050875",1.38593368511018,6.1023458062078,13.4664818334411,9.34902589716152e-10,1.5147743109844e-06,12.806780129502,"Minar2"
